number,name
BIOL 4278,Seminar in Biology
BIOL 4278,Seminar in Biology
BIOL 4313,Biology of Fishes
BIOL 4315,Biology Practicum
BIOL 4323,Field Biology
BIOL 4334,Environmental Microbiology
BIOL 4341,Biochemistry I
BIOL 4342,Biochemistry II
BIOL 4345,Human Physiology
BIOL 4347,Cellular Physiology
BIOL 4349,Plant Development
BIOL 4355,Tissue Culture
BIOL 4362,Endocrinology
BIOL 4371,Cancer Biology
BIOL 4391,Selected Topics Biological Scs
BIOL 5215,Laboratory for Ichthyology
BIOL 5235,Ichthyology
BIOL 5332,Toxicology
BIOL 5435,Advanced Immunology
BIOL 5533,Ecological Methods
BIOL 5635,Neuroscience
BIOL 5736,Bioethics
BIOL 5738,Gene Therapy
BIOL 6838,Research Project And Seminar
BIOT 5011,Methods in Biotechnology Discussion
BIOT 5021,Methods of Biotechnology
BIOT 5031,Applied Biotechnology
BIOT 5111,Advanced Methods of Biotechnology I Discussion
BIOT 5112,Advanced Methods of Biotechnology II Discussion
BIOT 5121,Advanced Methods of Biotechnology I
BIOT 5122,Advanced Methods of Biotechnology II
BIOT 5331,Stem Cell Biotechnology
BIOT 5530,Research Methods in Biotechnology
BIOT 5733,Bioinformatics
BIOT 5736,Bioethics
BIOT 5915,Cooperative Education Work Term
BIOT 6011,Biotechnology Practicum
BIOT 6021,Biotechnology Practicum
BIOT 6031,Biotechnology Practicum
BIOT 6838,Research Project and Seminar
CENG 2112,Lab For Digital Circuits
CENG 2112,Lab For Digital Circuits
CENG 2112,Lab For Digital Circuits
CENG 2312,Digital Circuits
CENG 2312,Digital Circuits
CENG 2371,Microcontroller Programming
CENG 3113,Lab For Linear Circuits
CENG 3113,Lab For Linear Circuits
CENG 3116,Lab for Electronics
CENG 3116,Lab for Electronics
CENG 3131,Lab For Telecom And Networks
CENG 3131,Lab For Telecom And Networks
CENG 3151,Lab For Computer Architecture
CENG 3151,Lab For Computer Architecture
CENG 3264,Engineering Design and Project Management
CENG 3313,Linear Circuits
CENG 3316,Electronics
CENG 3331,Intro To Telecom And Networks
CENG 3351,Computer Architecture
CENG 4113,Lab for Microprocsr Intrfacing
CENG 4113,Lab for Microprocsr Intrfacing
CENG 4265,Senior Project
CENG 4265,Senior Project
CENG 4313,Microprocessor Interfacing
CENG 4331,Analysis and Design of Linear Systems
CENG 4351,Introduction to Robotics
CENG 4391,Selected Topics In Comp Enginr
CENG 4391,Selected Topics In Comp Enginr
CENG 4391,Selected Topics In Comp Enginr
CENG 5131,Engineering Applications
CENG 5133,Computer Architecture Design
CENG 5433,Prin Of Digital Commun Systems
CENG 5434,Microcomputer Systems Design
CENG 5435,Robotics Applications and Software
CENG 5531,Machine Learning and Applications
CENG 5931,Topics In Computer Engineering
CENG 5931,Topics In Computer Engineering
CENG 6535,Bio-Inspired Computing
CENG 6838,Research Project and Seminar
CHEM 1111,Laboratory for General Chemistry I
CHEM 1111,Laboratory for General Chemistry I
CHEM 1111,Laboratory for General Chemistry I
CHEM 1111,Laboratory for General Chemistry I
CHEM 1111,Laboratory for General Chemistry I
CHEM 1111,Laboratory for General Chemistry I
CHEM 1112,Laboratory for General Chemistry II
CHEM 1112,Laboratory for General Chemistry II
CHEM 1311,General Chemistry I
CHEM 1311,General Chemistry I
CHEM 1311,General Chemistry I
CHEM 1312,General Chemistry II
CHEM 2123,Lab for Organic Chemistry I
CHEM 2123,Lab for Organic Chemistry I
CHEM 2123,Lab for Organic Chemistry I
CHEM 2123,Lab for Organic Chemistry I
CHEM 2123,Lab for Organic Chemistry I
CHEM 2123,Lab for Organic Chemistry I
CHEM 2125,Lab for Organic Chemistry II
CHEM 2125,Lab for Organic Chemistry II
CHEM 2323,Organic Chemistry I
CHEM 2323,Organic Chemistry I
CHEM 2325,Organic Chemistry II
CHEM 2377,Life and the Universe
CHEM 3310,Advanced Chemical Calculations
CHEM 4115,Chemistry Practicum (ATA)
CHEM 4115,Chemistry Practicum (ATA)
CHEM 4222,Lab For Physical Chemistry
CHEM 4235,Adv Lab for Inorganic Chemistry
CHEM 4274,Laboratory for Quantitative Chemical Analysis
CHEM 4321,Physical Chemistry I
CHEM 4335,Inorganic Chemistry
CHEM 4365,Introduction to Polymer Chemistry
CHEM 4368,Advanced Organic Chemistry
CHEM 4372,Undergraduate Research I and Seminar
CHEM 4373,Quantitative Chemical Analysis
CHEM 4379,Undergraduate Research II
CHEM 5134,Synthetic Organic Chemistry
CHEM 5635,Advanced Polymer Chemistry
CHEM 5636,Advanced Analytical Chemistry
CHEM 5637,Modern Spectroscopy
CHEM 6837,Research Project I and Seminar
CHEM 6838,Research Project II and Seminar
CINF 1370,Introduction to Computer Information Systems
CINF 3321,Information Systems Theory and Practice
CINF 3331,Business Data Communications
CINF 4321,Enterprise Resource Planning Systems
CINF 4324,Modern System Analysis and Design
CINF 4364,Computer Systems Administration
CINF 4381,Computer Forensics
CINF 4388,Senior Project in Computer Information Systems
CINF 4388,Senior Project in Computer Information Systems
CINF 4391,Advanced Topics in Computer Information Systems
CINF 5231,Strategic Information Systems
CINF 5234,Advanced Modern Systems Analysis and Design
COMM 1307,Introduction to Mass Communication
COMM 1315,Public Speaking
COMM 1315,Public Speaking
COMM 1315,Public Speaking
COMM 1315,Public Speaking
COMM 1315,Public Speaking
COMM 1315,Public Speaking
COMM 1315,Public Speaking
COMM 3320,Principles of Public Relations
COMM 3321,Media Writing
COMM 3322,Social Media Analytics
COMM 3323,Social Media Content Production
COMM 3350,Visual Communication
COMM 3350,Visual Communication
COMM 3352,Media Law
COMM 3356,Advertising Procedure
COMM 3357,Crisis Communication
COMM 4061,Communication Portfolio
COMM 4301,Global Issues in Film
COMM 4322,Public Relations Writing
COMM 4350,3D Computer Modeling
COMM 4354,Video Production 1
COMM 4355,Narrative Video Production
COMM 4358,Publication Design
COMM 4358,Publication Design
COMM 4379,Communication Internship
COMM 4391,Selected Topics in Communication
COMM 4391,Selected Topics in Communication
CRCL 5031,Theories of Cultural Diversity
CRIM 3300,Gender and Crime
CRIM 3312,Criminology
CRIM 3312,Criminology
CRIM 3314,Terrorism and Homeland Security
CRIM 4306,Service Learning
CRIM 4330,Criminal Investigation
CRIM 4331,Prison and Society
CRIM 4334,Criminal Law
CRIM 4338,Policing and Society
CRIM 4385,Research Methods
CRIM 4385,Research Methods
CRIM 5036,Criminological Research and Statistics I
CRIM 5136,Race and Crime
CRIM 5331,Advanced Criminology
CRIM 5336,Law and Society
CSCI 1320,C Programming
CSCI 1470,Computer Science I
CSCI 1470,Computer Science I
CSCI 1471,Computer Science II
CSCI 1471,Computer Science II
CSCI 2305,Data Structures for Science & Engineering
CSCI 2315,Data Structures
CSCI 2315,Data Structures
CSCI 2331,Computer Organization and Assembly Language
CSCI 3321,Numerical Methods
CSCI 3352,Adv Data Structr & Algorithms
CSCI 4312,Network Protocols
CSCI 4320,Web Application Development
CSCI 4320,Web Application Development
CSCI 4323,Computer Security
CSCI 4333,Design Of Database Systems
CSCI 4333,Design Of Database Systems
CSCI 4354,Operating Systems
CSCI 4355,Programming Language Concepts
CSCI 4362,Computer Game Programming
CSCI 4364,Computer Systems Administration
CSCI 4379,Internship in Computer Science
CSCI 4381,Computer Forensics
CSCI 4388,Senior Project in Comp Science
CSCI 4388,Senior Project in Comp Science
CSCI 4391,Select Topics Computer Science
CSCI 5132,Internet Protocols
CSCI 5134,Concurrent Programming and Software Modeling
CSCI 5233,Computer Security and Cryptography
CSCI 5235,Network Security
CSCI 5333,Data Base Management System
CSCI 5333,Data Base Management System
CSCI 5336,Machine Learning
CSCI 5432,Design & Analysis Algorithms
CSCI 5432,Design & Analysis Algorithms
CSCI 5531,Advanced Operating Systems
CSCI 5737,Mobile Applications Development
CSCI 5739,Internship in Computer Science
CSCI 5832,Financial Data Mining
CSCI 5833,Data Mining Tools and Techniques
CSCI 5915,Cooperative Education Work Trm
CSCI 5931,Research Topics Comp Science
CSCI 6530,Research Methods In Comp Sci
CSCI 6530,Research Methods In Comp Sci
CSCI 6838,Research Project And Seminar
CSCI 6838,Research Project And Seminar
DASC 5133,Introduction to Data Science
DASC 5133,Introduction to Data Science
DASC 5231,Visualization in Data Science
DASC 5333,Database Systems for Data Science
DASC 6838,Research Project and Seminar
DMST 5033,Advertising Design
DMST 5132,3D Modeling
DMST 5230,Critical  Approaches to Digital Media
DMST 5332,Motion Graphics
DMST 5437,Digital Media and Society
DMST 5534,Video Production 1
DMST 5535,Narrative Video Production
DMST 6739,Graduate Internship
DSCI 3321,Statistics I
DSCI 3321,Statistics I
DSCI 3321,Statistics I
DSCI 3321,Statistics I
DSCI 3321,Statistics I
DSCI 3331,Quantitative Methods for Management
DSCI 3331,Quantitative Methods for Management
DSCI 3331,Quantitative Methods for Management
DSCI 3331,Quantitative Methods for Management
DSCI 3331,Quantitative Methods for Management
DSCI 5131,Business Analytics I
DSCI 5431,Management Science & Operation
DSCI 5431,Management Science & Operation
ECED 1303,Children and Families
ECED 1303,Children and Families
ECED 1318,"Nutrition, Health and Safety"
ECED 1354,Developmental Theories of Young Children
ECED 1354,Developmental Theories of Young Children
ECED 4100,EC-3 Teacher Seminar
ECED 4302,Integrated Curriculum for Young Children
ECED 4302,Integrated Curriculum for Young Children
ECED 4303,Child Guidance & Classroom Management for Young Children
ECED 4304,"Facilitating Children's Development through Fine Arts, Health & Physical Education"
ECED 4304,"Facilitating Children's Development through Fine Arts, Health & Physical Education"
ECED 4305,Language Development Birth-Age 5
ECED 4307,Mathematics and Science in Early Childhood Education
ECED 4311,Reading Development in Young Children
ECED 4311,Reading Development in Young Children
ECED 4314,Observational/Developmental Assessment of Young Children
ECED 4320,Play in Early Childhood Curriculum
ECED 4321,Advanced Topics: Infants and Toddlers
ECED 4322,Cultural Awareness for Young Children
ECED 4326,Effective and Positive Classroom Interactions for Young Children
ECED 4327,Early Childhood Program Development & Management II - Managing Center Operations and Finance
ECED 4328,Early Childhood Curriculum and Pedagogy
ECED 4332,Teaching Young Children with Special Needs
ECED 4341,The Science of Teaching  Reading for EC-3
ECED 4377,Practicum
ECED 5031,Teaching Young Children
ECED 5038,Creative Arts in Early Childhood
ECED 5131,Curriculum in Early Childhood Education
ECED 5132,Literacy Dvmnt In Early Chldh
ECED 5133,Mathematics and Science Teaching and Learning in Early Childhood
ECED 5332,Infants & Yng Childrn W/Except
ECED 6739,Early Childhood Education
ECON 2301,Principles of Macroeconomics
ECON 2301,Principles of Macroeconomics
ECON 2301,Principles of Macroeconomics
ECON 2302,Principles of Microeconomics
ECON 2302,Principles of Microeconomics
ECON 3311,Money And Banking
ECON 3311,Money And Banking
ECON 3311,Money And Banking
ECON 3311,Money And Banking
ECON 3311,Money And Banking
ECON 3331,Population Economics
ECON 5136,Managerial Economics
ECON 5136,Managerial Economics
EDCI 7032,Quantitative Research II
EDCI 7033,Qualitative Research
EDCI 7138,"Curriculum Design: Development, Implementation, Evaluation in STEM Education"
EDCI 7430,Current Issues and Trends in STEM Education
EDCI 8530,Research Seminar
EDLS 7032,Quantitative Research II
EDLS 7033,Qualitative Research
EDLS 7034,Professional Writing and Communications
EDLS 7035,Intercultural Communication
EDLS 7530,Learning Theory and Instruction
EDLS 7533,Systematic Design of Technology-based Instruction
EDLS 8130,Strategic Planning & Systems Alignment
EDLS 8530,Research Seminar
EDUC 4310,Theories of Educational Psychology
EDUC 4310,Theories of Educational Psychology
EDUC 4310,Theories of Educational Psychology
EDUC 4310,Theories of Educational Psychology
EDUC 4310,Theories of Educational Psychology
EDUC 4310,Theories of Educational Psychology
EDUC 4310,Theories of Educational Psychology
EDUC 4310,Theories of Educational Psychology
EDUC 6032,Applied Statistics
EDUC 6032,Applied Statistics
EDUC 6033,Research Design And Analysis
EDUC 6033,Research Design And Analysis
EMGT 5130,New Business Development
EMGT 5230,Negotiation Strategies
EMGT 5230,Negotiation Strategies
EMGT 5231,Engineering Management Planning
EMGT 5330,Service and Operations Management
EMGT 5330,Service and Operations Management
EMGT 5531,Technology Planning and Management
EMGT 5531,Technology Planning and Management
EMGT 5631,Supply Chain Management
EMGT 5631,Supply Chain Management
EMGT 5632,Logistics Management
EMGT 5632,Logistics Management
EMGT 5731,Business Analytics
EMGT 5731,Business Analytics
EMGT 5931,Research Topics in Engineering Management
EMGT 6837,Engineering Management Capstone Project
EMGT 6837,Engineering Management Capstone Project
ENGR 1201,Introduction to Engineering
ENGR 1201,Introduction to Engineering
ENGR 2301,Statics
ENGR 2301,Statics
ENGR 2304,Computing for Engineers
ENGR 2304,Computing for Engineers
ENSC 1101,Laboratory for Environmental Science I
ENSC 1101,Laboratory for Environmental Science I
ENSC 1301,Environmental Science I
ENSC 3331,Environmental Biology
ENSC 3333,Environmental Geology
ENSC 4251,Laboratory for Environmental Analysis
ENSC 4307,Geographic Information Systems
ENSC 4331,Introduction to Environmental Engineering
ENSC 4332,Advanced Environmental Science
ENSC 4333,Introduction to Global Climate Change
ENSC 4336,Web GIS
ENSC 4351,Hydrogeology
ENSC 4352,Water Chemistry and Water Pollution
ENSC 4356,Soil & Groundwater Remediation
ENSC 5332,Toxicology
ENSC 5333,Fundamentals of Environ Eng
ENSC 5333,Fundamentals of Environ Eng
ENSC 5530,Research Methods: Environ Sci
ENSC 5536,Environmental Remediation
ENSC 5536,Environmental Remediation
ENSC 5931,Topics In Environmental Sci
ENSC 6731,Graduate Seminar
ENSC 6838,Research Project And Seminar
ENVR 3311,Foundations Envr Management
ENVR 4311,Prin Of Air Quality Management
ENVR 4315,Introduction To Envr Law
ENVR 4333,Intro To Pollution Contrl Tech
ENVR 5131,Foundations in Sustainability
ENVR 5332,Environmental Law
ENVR 5333,Air Quality Management
EXHS 5130,Epidemiology
EXHS 5132,Applied Exercise Physiology: Cardiopulmonary
EXHS 5135,Social and Behavioral Aspects of Public Health
EXHS 5335,Exercise in Chronic Disease: Cardiopulmonary and Metabolic
EXHS 6035,Biostatistics 1
EXHS 6639,Clinical Exercise Practicum
FINC 3301,Personal Money Management
FINC 3301,Personal Money Management
FINC 3331,Business Finance
FINC 3331,Business Finance
FINC 3331,Business Finance
FINC 3331,Business Finance
FINC 3333,Intermediate Financial Mgmt
FINC 3333,Intermediate Financial Mgmt
FINC 3353,Investments
FINC 4331,Contemporary Finc Institutions
FINC 4341,Structure of Financial Statements
FINC 4351,International Financial Operations
FINC 4351,International Financial Operations
FINC 4379,Internship in Finance
FINC 5133,Corporate Finance
FINC 5133,Corporate Finance
FINC 5231,Quantitative Methods in Finance
FINC 5231,Quantitative Methods in Finance
FINC 5332,Financial Statements
FINC 6131,Commercial Banking
FINC 6231,Investment Management
FINC 6234,Portfolio Management
FINC 6531,International Finance
FINC 6731,Seminar In Finance
FINC 6731,Seminar In Finance
GAME 1301,Foundations of Games 1
GAME 2331,Curriculum and Assessment for Serious Games
GAME 3301,Game Programming I
GEOG 1301,Modern Physical Geography
GEOG 1303,World Regional Geography
GEOG 4300,Geography of North America
GEOG 4312,Human Geography
GEOG 4321,Fundamentals of Geographic Information Systems
GEOG 4321,Fundamentals of Geographic Information Systems
GEOG 5134,Introduction to Geographic Information Systems
GEOG 5134,Introduction to Geographic Information Systems
GEOL 1103,Laboratory for Physical Geology
GEOL 1103,Laboratory for Physical Geology
GEOL 1303,Physical Geology
GEOL 3305,Fundamentals Of Earth Science
GEOL 3333,Environmental Geology
GEOL 4327,Natural Disasters
GEOL 5632,Hazrdous Material In Geol Envr
HADM 3322,Financial Dimensions of Healthcare Administration I
HADM 5531,Group Practice Management
HADM 5731,Healthcare Quality
HADM 6739,Internship in Healthcare Administration
HIST 1301,United States History I
HIST 1301,United States History I
HIST 1302,United States History II
HIST 1302,United States History II
HIST 2301,Texas History
HIST 2321,World Civilization I
HIST 3307,Medieval Europe
HIST 3316,Historical Studies
HIST 3317,Introduction to Latin American History
HIST 3321,Modern Latin America
HIST 3323,History of Mexico
HIST 3325,Colonial America
HIST 3329,Antebellum America
HIST 3335,U.S. in the Roaring 1920s
HIST 3341,Women in American History
HIST 3345,Reel America I
HIST 3349,Modern Middle East
HIST 4391,Selected Topics in History
HIST 5031,Research and Methods Seminar
HIST 5131,"Studies in Early American History, 1607-1815"
HIST 5432,Studies in European History
HIST 5438,Islamic Empires in World History
HLTH 2301,Introduction to Exercise Science
HLTH 3301,"Health, Emergency Care and First Aid"
HLTH 3301,"Health, Emergency Care and First Aid"
HLTH 3301,"Health, Emergency Care and First Aid"
HLTH 3301,"Health, Emergency Care and First Aid"
HLTH 3302,Health and Physical Education - EC-6 Survey
HLTH 3303,Nutrition and Weight Management
HLTH 3303,Nutrition and Weight Management
HLTH 3304,Principles of Physical Fitness
HLTH 3304,Principles of Physical Fitness
HLTH 3309,Evidence-Based Practice
HLTH 3315,Health Promotion Planning & Evaluation
HLTH 3316,Applied Kinesiology
HLTH 3317,Motor Development and Learning
HLTH 3319,Introduction to Public Health
HLTH 4301,Physiology of Exercise
HLTH 4302,Biomechanics
HLTH 4305,Seminar in Sports Medicine
HLTH 4307,Peak Performance
HLTH 4308,Resistive Exercise:  Theory and Practice
HLTH 4311,Methods in Physical Education I
HLTH 4370,Undergraduate Lab Practicum
HLTH 4370,Undergraduate Lab Practicum
HMRS 5131,Human Resource Mgmt Processes
HMRS 5231,Legl Envr Of Humn Res Mgmt I
HMRS 5433,Compensation And Benefits
HMRS 5435,"Employee Plan,Staff,Selection"
HMRS 5531,Training And Development
HMRS 6735,Seminar in Human Resource Management
HUMN 1301,Humanities
HUMN 3350,Art 1900-1950
HUMN 3375,Ideas in Transition
HUMN 3375,Ideas in Transition
HUMN 3375,Ideas in Transition
HUMN 3375,Ideas in Transition
HUMN 4322,Roman Art
HUMN 4326,Studies in Film
HUMN 4364,Museum Studies
HUMN 5032,History of Ideas II
HUMN 5235,Museums and the Public
HUMN 5431,Issues in Art History II: Renaissance to the Present
INST 3313,Survey of Instructional Technologies
INST 3313,Survey of Instructional Technologies
INST 3313,Survey of Instructional Technologies
INST 3313,Survey of Instructional Technologies
INST 3313,Survey of Instructional Technologies
INST 3313,Survey of Instructional Technologies
INST 3313,Survey of Instructional Technologies
INST 4355,eLearning
INST 4365,Web Development
INST 5130,Learning Theory and Instruction
INST 5131,Trends and Issue in Instructional Technology
INST 5233,Performance Technology
INST 5333,Sys Design Of Tech-Based Instr
INST 5433,Project Management for Instructional Projects
INST 5635,Inst Web Design & Development
INST 6031,Applications of Technology
INST 6037,Advanced Technology Applications
ISAM 1305,Business Computer Applications
ISAM 1305,Business Computer Applications
ISAM 3303,Info Systems For Mgmt
ISAM 3303,Info Systems For Mgmt
ISAM 3303,Info Systems For Mgmt
ISAM 3303,Info Systems For Mgmt
ISAM 3303,Info Systems For Mgmt
ISAM 3304,Introduction to Business Applications Programming
ISAM 3314,Applications Development with Java
ISAM 3331,Introduction to Business Database Application Development
ISAM 3333,Applications Development with C#
ISAM 4331,Introduction to Business Internet Applications Development
ISAM 4362,Advanced Business Database Applications Development
ISAM 4391,Special Topics in Management Information Systems
ISAM 4391,Special Topics in Management Information Systems
ISAM 5030,Fundamentals of Business Programming Applications
ISAM 5330,Management Information Systems
ISAM 5331,Fundamentals of Databases
ISAM 5332,Data Warehousing and Data Mining
ISAM 5338,Internet Application Development
ISAM 5339,Fundamentals of Computer Networking
ISAM 5430,Advanced Application Development with C#
ISAM 5632,Advanced Database Applications Development
ISAM 5635,Systems Analysis and Design
ISAM 5636,Advanced Computer Networking
ISAM 5638,Advanced Applications Programming with Java
ISAM 5734,Advanced Data Analytics in ERP System
ISAM 5735,Data Analytics Application Development
ITEC 1310,Introduction to Information Technology
ITEC 2313,Scripting I
ITEC 2351,Web Fundamentals
ITEC 2381,Forensics Fundamentals
ITEC 3312,Scripting II
ITEC 3335,Database Development
ITEC 3365,Network Fundamentals
ITEC 3388,Cyber Security I
ITEC 4342,IT Project Management
ITEC 4365,Network Administration
ITEC 4379,Internship in Information Technology
ITEC 4381,Computer Forensics
ITEC 4383,Cyber Security II
ITEC 4388,Senior Project in Information Technology
ITEC 4388,Senior Project in Information Technology
ITEC 4391,Selected Topics in Information Technology
LEGL 3301,Business Law
LEGL 3301,Business Law
LEGL 3301,Business Law
LEGL 3313,Intro Law & Amer Legal System
LEGL 3351,Legal Research
LEGL 3353,Introduction to the Texas Rules of Pre-Trial Civil Procedure
LEGL 4325,Legal Concepts for Human Resource Professionals
LEGL 4352,Family Law & Procedures
LEGL 4353,Dispute Resolution
LEGL 4355,Criminal Law & Procedure
LEGL 5131,Legal Concepts for the Business Professional
LITR 2326,American Literature
LITR 2341,Literature and Experience
LITR 2366,Introduction to Film Studies
LITR 2371,Introduction Creative Writing
LITR 3301,Literary Studies: Genres and  Perspectives
LITR 3334,Mythology
LITR 3361,Shakespeare
LITR 4338,American Minority Literature
LITR 4350,Masterpieces of 19th-Century European Literature
LITR 4356,Modern American and British Poetry
LITR 4368,Literature of the Future
LITR 5130,Composition: Theory and Practice
LITR 5132,Literary Theory
LITR 5434,British Literature: Pre-Restoration
LITR 5831,World/Multicultural Literature
LLAS 4309,Topics in Latina/o and Latin American Studies
LLLS 4311,Foundations Literacy Skills
LLLS 4311,Foundations Literacy Skills
LLLS 4311,Foundations Literacy Skills
LLLS 4311,Foundations Literacy Skills
LLLS 4311,Foundations Literacy Skills
LLLS 4313,Corrective & Remedial Reading
LLLS 4313,Corrective & Remedial Reading
LLLS 4332,Diagn & Prescriptive Reading
LLLS 4332,Diagn & Prescriptive Reading
